home_team,away_team,year,week,total_home_score,total_away_score,game_date
CIN,LV,2006,14,27.0,10.0,2006-12-10
WAS,PHI,2006,14,19.0,21.0,2006-12-10
ARI,SEA,2006,14,27.0,21.0,2006-12-10
HOU,TEN,2006,14,20.0,26.0,2006-12-10
IND,CIN,2006,15,34.0,16.0,2006-12-18
BAL,CLE,2006,15,27.0,17.0,2006-12-17
ATL,DAL,2006,15,28.0,38.0,2006-12-16
ARI,DEN,2006,15,20.0,37.0,2006-12-17
GB,DET,2006,15,17.0,9.0,2006-12-17
NE,HOU,2006,15,40.0,7.0,2006-12-17
TEN,JAX,2006,15,24.0,17.0,2006-12-17
LAC,KC,2006,15,20.0,9.0,2006-12-17
BUF,MIA,2006,15,21.0,0.0,2006-12-17
MIN,NYJ,2006,15,13.0,26.0,2006-12-17
NYG,PHI,2006,15,22.0,36.0,2006-12-17
CAR,PIT,2006,15,3.0,37.0,2006-12-17
SEA,SF,2006,15,14.0,24.0,2006-12-14
LV,LA,2006,15,0.0,20.0,2006-12-17
CHI,TB,2006,15,34.0,31.0,2006-12-17
NO,WAS,2006,15,10.0,16.0,2006-12-17
SF,ARI,2006,16,20.0,26.0,2006-12-24
PIT,BAL,2006,16,7.0,31.0,2006-12-24
ATL,CAR,2006,16,3.0,10.0,2006-12-24
DET,CHI,2006,16,21.0,26.0,2006-12-24
DEN,CIN,2006,16,24.0,23.0,2006-12-24
HOU,IND,2006,16,27.0,24.0,2006-12-24
LV,KC,2006,16,9.0,20.0,2006-12-23
GB,MIN,2006,16,9.0,7.0,2006-12-21
JAX,NE,2006,16,21.0,24.0,2006-12-24
NYG,NO,2006,16,7.0,30.0,2006-12-24
MIA,NYJ,2006,16,10.0,13.0,2006-12-25
DAL,PHI,2006,16,7.0,23.0,2006-12-25
SEA,LAC,2006,16,17.0,20.0,2006-12-24
CLE,TB,2006,16,7.0,22.0,2006-12-24
BUF,TEN,2006,16,29.0,30.0,2006-12-24
LA,WAS,2006,16,37.0,31.0,2006-12-24
IND,ARI,2006,17,17.0,13.0,2006-01-01
CLE,BAL,2006,17,20.0,16.0,2006-01-01
NYJ,BUF,2006,17,30.0,26.0,2006-01-01
ATL,CAR,2006,17,11.0,44.0,2006-01-01
MIN,CHI,2006,17,34.0,10.0,2006-01-01
KC,CIN,2006,17,37.0,3.0,2006-01-01
PIT,DET,2006,17,35.0,21.0,2006-01-01
SF,HOU,2006,17,20.0,17.0,2006-01-01
NE,MIA,2006,17,26.0,28.0,2006-01-01
TB,NO,2006,17,27.0,13.0,2006-01-01
GB,SEA,2006,17,23.0,17.0,2006-01-01
DAL,LA,2006,17,10.0,20.0,2006-01-01
JAX,TEN,2006,17,40.0,13.0,2006-01-01
PHI,WAS,2006,17,20.0,31.0,2006-01-01
LAC,ARI,2006,17,27.0,20.0,2006-12-31
PHI,ATL,2006,17,24.0,17.0,2006-12-31
BAL,BUF,2006,17,19.0,7.0,2006-12-31
NO,CAR,2006,17,21.0,31.0,2006-12-31
HOU,CLE,2006,17,14.0,6.0,2006-12-31
DAL,DET,2006,17,31.0,39.0,2006-12-31
CHI,GB,2006,17,7.0,26.0,2006-12-31
KC,JAX,2006,17,35.0,30.0,2006-12-31
IND,MIA,2006,17,27.0,22.0,2006-12-31
TEN,NE,2006,17,23.0,40.0,2006-12-31
WAS,NYG,2006,17,28.0,34.0,2006-12-30
NYJ,LV,2006,17,23.0,3.0,2006-12-31
CIN,PIT,2006,17,17.0,23.0,2006-12-31
TB,SEA,2006,17,7.0,23.0,2006-12-31
DEN,SF,2006,17,23.0,26.0,2006-12-31
MIN,LA,2006,17,21.0,41.0,2006-12-31
NYG,CAR,2006,18,0.0,23.0,2006-01-08
NE,JAX,2006,18,28.0,3.0,2006-01-07
CIN,PIT,2006,18,17.0,31.0,2006-01-08
TB,WAS,2006,18,10.0,17.0,2006-01-07
CHI,CAR,2006,19,21.0,29.0,2006-01-15
DEN,NE,2006,19,27.0,13.0,2006-01-14
IND,PIT,2006,19,18.0,21.0,2006-01-15
SEA,WAS,2006,19,20.0,10.0,2006-01-14
SEA,CAR,2006,20,34.0,14.0,2006-01-22
DEN,PIT,2006,20,17.0,34.0,2006-01-22
PIT,SEA,2006,21,21.0,10.0,2006-02-05
SF,ARI,2007,1,20.0,17.0,2007-09-10
MIN,ATL,2007,1,24.0,3.0,2007-09-09
CIN,BAL,2007,1,27.0,20.0,2007-09-10
LA,CAR,2007,1,13.0,27.0,2007-09-09
LAC,CHI,2007,1,14.0,3.0,2007-09-09
BUF,DEN,2007,1,14.0,15.0,2007-09-09
LV,DET,2007,1,21.0,36.0,2007-09-09
HOU,KC,2007,1,20.0,3.0,2007-09-09
WAS,MIA,2007,1,16.0,13.0,2007-09-09
NYJ,NE,2007,1,14.0,38.0,2007-09-09
IND,NO,2007,1,41.0,10.0,2007-09-06
DAL,NYG,2007,1,45.0,35.0,2007-09-09
GB,PHI,2007,1,16.0,13.0,2007-09-09
CLE,PIT,2007,1,7.0,34.0,2007-09-09
SEA,TB,2007,1,20.0,6.0,2007-09-09
JAX,TEN,2007,1,10.0,13.0,2007-09-09
JAX,ATL,2007,2,13.0,7.0,2007-09-16
PIT,BUF,2007,2,26.0,3.0,2007-09-16
CLE,CIN,2007,2,51.0,45.0,2007-09-16
MIA,DAL,2007,2,20.0,37.0,2007-09-16
NYG,GB,2007,2,13.0,35.0,2007-09-16
CAR,HOU,2007,2,21.0,34.0,2007-09-16
TEN,IND,2007,2,20.0,22.0,2007-09-16
CHI,KC,2007,2,20.0,10.0,2007-09-16
DET,MIN,2007,2,20.0,17.0,2007-09-16
TB,NO,2007,2,31.0,14.0,2007-09-16
BAL,NYJ,2007,2,20.0,13.0,2007-09-16
DEN,LV,2007,2,23.0,20.0,2007-09-16
NE,LAC,2007,2,38.0,14.0,2007-09-16
ARI,SEA,2007,2,23.0,20.0,2007-09-16
LA,SF,2007,2,16.0,17.0,2007-09-16
PHI,WAS,2007,2,12.0,20.0,2007-09-17
BAL,ARI,2007,3,26.0,23.0,2007-09-23
NE,BUF,2007,3,38.0,7.0,2007-09-23
ATL,CAR,2007,3,20.0,27.0,2007-09-23
SEA,CIN,2007,3,24.0,21.0,2007-09-23
LV,CLE,2007,3,26.0,24.0,2007-09-23
CHI,DAL,2007,3,10.0,34.0,2007-09-23
PHI,DET,2007,3,56.0,21.0,2007-09-23
HOU,IND,2007,3,24.0,30.0,2007-09-23
DEN,JAX,2007,3,14.0,23.0,2007-09-23
NYJ,MIA,2007,3,31.0,28.0,2007-09-23
KC,MIN,2007,3,13.0,10.0,2007-09-23
WAS,NYG,2007,3,17.0,24.0,2007-09-23
GB,LAC,2007,3,31.0,24.0,2007-09-23
PIT,SF,2007,3,37.0,16.0,2007-09-23
TB,LA,2007,3,24.0,3.0,2007-09-23
NO,TEN,2007,3,14.0,31.0,2007-09-24
CLE,BAL,2007,4,27.0,13.0,2007-09-30
DET,CHI,2007,4,37.0,27.0,2007-09-30
IND,DEN,2007,4,38.0,20.0,2007-09-30
MIN,GB,2007,4,16.0,23.0,2007-09-30
ATL,HOU,2007,4,26.0,16.0,2007-09-30
LAC,KC,2007,4,16.0,30.0,2007-09-30
CIN,NE,2007,4,13.0,34.0,2007-10-01
BUF,NYJ,2007,4,17.0,14.0,2007-09-30
MIA,LV,2007,4,17.0,35.0,2007-09-30
NYG,PHI,2007,4,16.0,3.0,2007-09-30
ARI,PIT,2007,4,21.0,14.0,2007-09-30
SF,SEA,2007,4,3.0,23.0,2007-09-30
DAL,LA,2007,4,35.0,7.0,2007-09-30
CAR,TB,2007,4,7.0,20.0,2007-09-30
LA,ARI,2007,5,31.0,34.0,2007-10-07
TEN,ATL,2007,5,20.0,13.0,2007-10-07
SF,BAL,2007,5,7.0,9.0,2007-10-07
NO,CAR,2007,5,13.0,16.0,2007-10-07
GB,CHI,2007,5,20.0,27.0,2007-10-07
NE,CLE,2007,5,34.0,17.0,2007-10-07
BUF,DAL,2007,5,24.0,25.0,2007-10-08
WAS,DET,2007,5,34.0,3.0,2007-10-07
KC,JAX,2007,5,7.0,17.0,2007-10-07
HOU,MIA,2007,5,22.0,19.0,2007-10-07
NYG,NYJ,2007,5,35.0,24.0,2007-10-07
DEN,LAC,2007,5,3.0,41.0,2007-10-07
PIT,SEA,2007,5,21.0,0.0,2007-10-07
IND,TB,2007,5,33.0,14.0,2007-10-07
ARI,CAR,2007,6,10.0,25.0,2007-10-14
KC,CIN,2007,6,27.0,20.0,2007-10-14
JAX,HOU,2007,6,37.0,17.0,2007-10-14
CLE,MIA,2007,6,41.0,31.0,2007-10-14
CHI,MIN,2007,6,31.0,34.0,2007-10-14
DAL,NE,2007,6,27.0,48.0,2007-10-14
SEA,NO,2007,6,17.0,28.0,2007-10-14
ATL,NYG,2007,6,10.0,31.0,2007-10-15
LAC,LV,2007,6,28.0,14.0,2007-10-14
NYJ,PHI,2007,6,9.0,16.0,2007-10-14
BAL,LA,2007,6,22.0,3.0,2007-10-14
TB,TEN,2007,6,13.0,10.0,2007-10-14
GB,WAS,2007,6,17.0,14.0,2007-10-14
WAS,ARI,2007,7,21.0,19.0,2007-10-21
NO,ATL,2007,7,22.0,16.0,2007-10-21
BUF,BAL,2007,7,19.0,14.0,2007-10-21
PHI,CHI,2007,7,16.0,19.0,2007-10-21
JAX,IND,2007,7,7.0,29.0,2007-10-22
LV,KC,2007,7,10.0,12.0,2007-10-21
DAL,MIN,2007,7,24.0,14.0,2007-10-21
MIA,NE,2007,7,28.0,49.0,2007-10-21
CIN,NYJ,2007,7,38.0,31.0,2007-10-21
DEN,PIT,2007,7,31.0,28.0,2007-10-21
NYG,SF,2007,7,33.0,15.0,2007-10-21
SEA,LA,2007,7,33.0,6.0,2007-10-21
DET,TB,2007,7,23.0,16.0,2007-10-21
HOU,TEN,2007,7,36.0,38.0,2007-10-21
NYJ,BUF,2007,8,3.0,13.0,2007-10-28
LA,CLE,2007,8,20.0,27.0,2007-10-28
CHI,DET,2007,8,7.0,16.0,2007-10-28
DEN,GB,2007,8,13.0,19.0,2007-10-29
LAC,HOU,2007,8,35.0,10.0,2007-10-28
CAR,IND,2007,8,7.0,31.0,2007-10-28
TB,JAX,2007,8,23.0,24.0,2007-10-28
SF,NO,2007,8,10.0,31.0,2007-10-28
MIA,NYG,2007,8,10.0,13.0,2007-10-28
TEN,LV,2007,8,13.0,9.0,2007-10-28
MIN,PHI,2007,8,16.0,23.0,2007-10-28
CIN,PIT,2007,8,13.0,24.0,2007-10-28
NE,WAS,2007,8,52.0,7.0,2007-10-28
TB,ARI,2007,9,17.0,10.0,2007-11-04
PIT,BAL,2007,9,38.0,7.0,2007-11-05
TEN,CAR,2007,9,20.0,7.0,2007-11-04
BUF,CIN,2007,9,33.0,21.0,2007-11-04
PHI,DAL,2007,9,17.0,38.0,2007-11-04
DET,DEN,2007,9,44.0,7.0,2007-11-04
KC,GB,2007,9,22.0,33.0,2007-11-04
LV,HOU,2007,9,17.0,24.0,2007-11-04
NO,JAX,2007,9,41.0,24.0,2007-11-04
IND,NE,2007,9,20.0,24.0,2007-11-04
MIN,LAC,2007,9,35.0,17.0,2007-11-04
CLE,SEA,2007,9,33.0,30.0,2007-11-04
ATL,SF,2007,9,20.0,16.0,2007-11-04
NYJ,WAS,2007,9,20.0,23.0,2007-11-04
CAR,ATL,2007,10,13.0,20.0,2007-11-11
MIA,BUF,2007,10,10.0,13.0,2007-11-11
LV,CHI,2007,10,6.0,17.0,2007-11-11
BAL,CIN,2007,10,7.0,21.0,2007-11-11
PIT,CLE,2007,10,31.0,28.0,2007-11-11
NYG,DAL,2007,10,20.0,31.0,2007-11-11
KC,DEN,2007,10,11.0,27.0,2007-11-11
ARI,DET,2007,10,31.0,21.0,2007-11-11
LAC,IND,2007,10,23.0,21.0,2007-11-11
TEN,JAX,2007,10,13.0,28.0,2007-11-11
GB,MIN,2007,10,34.0,0.0,2007-11-11
WAS,PHI,2007,10,25.0,33.0,2007-11-11
SEA,SF,2007,10,24.0,0.0,2007-11-12
NO,LA,2007,10,29.0,37.0,2007-11-11
CIN,ARI,2007,11,27.0,35.0,2007-11-18
GB,CAR,2007,11,31.0,17.0,2007-11-18
SEA,CHI,2007,11,30.0,23.0,2007-11-18
BAL,CLE,2007,11,30.0,33.0,2007-11-18
IND,KC,2007,11,13.0,10.0,2007-11-18
PHI,MIA,2007,11,17.0,7.0,2007-11-18
BUF,NE,2007,11,10.0,56.0,2007-11-18
HOU,NO,2007,11,23.0,10.0,2007-11-18
DET,NYG,2007,11,10.0,16.0,2007-11-18
MIN,LV,2007,11,29.0,22.0,2007-11-18
NYJ,PIT,2007,11,19.0,16.0,2007-11-18
JAX,LAC,2007,11,24.0,17.0,2007-11-18
SF,LA,2007,11,9.0,13.0,2007-11-18
ATL,TB,2007,11,7.0,31.0,2007-11-18
DEN,TEN,2007,11,34.0,20.0,2007-11-19
DAL,WAS,2007,11,28.0,23.0,2007-11-18
LAC,BAL,2007,12,32.0,14.0,2007-11-25
JAX,BUF,2007,12,36.0,14.0,2007-11-25
CHI,DEN,2007,12,37.0,34.0,2007-11-25
DET,GB,2007,12,26.0,37.0,2007-11-22
CLE,HOU,2007,12,27.0,17.0,2007-11-25
ATL,IND,2007,12,13.0,31.0,2007-11-22
PIT,MIA,2007,12,3.0,0.0,2007-11-26
NYG,MIN,2007,12,17.0,41.0,2007-11-25
CAR,NO,2007,12,6.0,31.0,2007-11-25
DAL,NYJ,2007,12,34.0,3.0,2007-11-22
KC,LV,2007,12,17.0,20.0,2007-11-25
NE,PHI,2007,12,31.0,28.0,2007-11-25
LA,SEA,2007,12,19.0,24.0,2007-11-25
ARI,SF,2007,12,31.0,37.0,2007-11-25
CIN,TEN,2007,12,35.0,6.0,2007-11-25
TB,WAS,2007,12,19.0,13.0,2007-11-25
LA,ATL,2007,13,28.0,16.0,2007-12-02
WAS,BUF,2007,13,16.0,17.0,2007-12-02
PIT,CIN,2007,13,24.0,10.0,2007-12-02
ARI,CLE,2007,13,27.0,21.0,2007-12-02
LV,DEN,2007,13,34.0,20.0,2007-12-02
MIN,DET,2007,13,42.0,10.0,2007-12-02
DAL,GB,2007,13,37.0,27.0,2007-11-29
TEN,HOU,2007,13,28.0,20.0,2007-12-02
IND,JAX,2007,13,28.0,25.0,2007-12-02
BAL,NE,2007,13,24.0,27.0,2007-12-03
CHI,NYG,2007,13,16.0,21.0,2007-12-02
MIA,NYJ,2007,13,13.0,40.0,2007-12-02
KC,LAC,2007,13,10.0,24.0,2007-12-02
CAR,SF,2007,13,31.0,14.0,2007-12-02
NO,TB,2007,13,23.0,27.0,2007-12-02
SEA,ARI,2007,14,42.0,21.0,2007-12-09
JAX,CAR,2007,14,37.0,6.0,2007-12-09
WAS,CHI,2007,14,24.0,16.0,2007-12-06
NYJ,CLE,2007,14,18.0,24.0,2007-12-09
DET,DAL,2007,14,27.0,28.0,2007-12-09
BAL,IND,2007,14,20.0,44.0,2007-12-09
DEN,KC,2007,14,41.0,7.0,2007-12-09
BUF,MIA,2007,14,38.0,17.0,2007-12-09
SF,MIN,2007,14,7.0,27.0,2007-12-09
ATL,NO,2007,14,14.0,34.0,2007-12-10
PHI,NYG,2007,14,13.0,16.0,2007-12-09
GB,LV,2007,14,38.0,7.0,2007-12-09
TEN,LAC,2007,14,17.0,23.0,2007-12-09
CIN,LA,2007,14,19.0,10.0,2007-12-09
HOU,TB,2007,14,28.0,14.0,2007-12-09
NO,ARI,2007,15,31.0,24.0,2007-12-16
TB,ATL,2007,15,37.0,3.0,2007-12-16
MIA,BAL,2007,15,22.0,16.0,2007-12-16
CLE,BUF,2007,15,8.0,0.0,2007-12-16
MIN,CHI,2007,15,20.0,13.0,2007-12-17
SF,CIN,2007,15,20.0,13.0,2007-12-15
HOU,DEN,2007,15,31.0,13.0,2007-12-13
LAC,DET,2007,15,51.0,14.0,2007-12-16
LA,GB,2007,15,14.0,33.0,2007-12-16
LV,IND,2007,15,14.0,21.0,2007-12-16
PIT,JAX,2007,15,22.0,29.0,2007-12-16
NE,NYJ,2007,15,20.0,10.0,2007-12-16
DAL,PHI,2007,15,6.0,10.0,2007-12-16
CAR,SEA,2007,15,13.0,10.0,2007-12-16
KC,TEN,2007,15,17.0,26.0,2007-12-16
NYG,WAS,2007,15,10.0,22.0,2007-12-16
ARI,ATL,2007,16,30.0,27.0,2007-12-23
SEA,BAL,2007,16,27.0,6.0,2007-12-23
CIN,CLE,2007,16,19.0,14.0,2007-12-23
CAR,DAL,2007,16,13.0,20.0,2007-12-22
LAC,DEN,2007,16,23.0,3.0,2007-12-24
CHI,GB,2007,16,35.0,7.0,2007-12-23
IND,HOU,2007,16,38.0,15.0,2007-12-23
DET,KC,2007,16,25.0,20.0,2007-12-23
NE,MIA,2007,16,28.0,7.0,2007-12-23
BUF,NYG,2007,16,21.0,38.0,2007-12-23
TEN,NYJ,2007,16,10.0,6.0,2007-12-23
JAX,LV,2007,16,49.0,11.0,2007-12-23
NO,PHI,2007,16,23.0,38.0,2007-12-23
LA,PIT,2007,16,24.0,41.0,2007-12-20
SF,TB,2007,16,21.0,19.0,2007-12-23
MIN,WAS,2007,16,21.0,32.0,2007-12-23
PHI,BUF,2007,17,17.0,9.0,2007-12-30
TB,CAR,2007,17,23.0,31.0,2007-12-30
MIA,CIN,2007,17,25.0,38.0,2007-12-30
WAS,DAL,2007,17,27.0,6.0,2007-12-30
GB,DET,2007,17,34.0,13.0,2007-12-30
HOU,JAX,2007,17,42.0,28.0,2007-12-30
NYJ,KC,2007,17,13.0,10.0,2007-12-30
DEN,MIN,2007,17,22.0,19.0,2007-12-30
NYG,NE,2007,17,35.0,38.0,2007-12-29
CHI,NO,2007,17,33.0,25.0,2007-12-30
BAL,PIT,2007,17,27.0,21.0,2007-12-30
LV,LAC,2007,17,17.0,30.0,2007-12-30
ATL,SEA,2007,17,44.0,41.0,2007-12-30
CLE,SF,2007,17,20.0,7.0,2007-12-30
ARI,LA,2007,17,48.0,19.0,2007-12-30
IND,TEN,2007,17,10.0,16.0,2007-12-30
SEA,DAL,2007,18,21.0,20.0,2007-01-06
IND,KC,2007,18,23.0,8.0,2007-01-06
PHI,NYG,2007,18,23.0,20.0,2007-01-07
NE,NYJ,2007,18,37.0,16.0,2007-01-07
BAL,IND,2007,19,6.0,15.0,2007-01-13
LAC,NE,2007,19,21.0,24.0,2007-01-14
NO,PHI,2007,19,27.0,24.0,2007-01-13
CHI,SEA,2007,19,27.0,24.0,2007-01-14
IND,NE,2007,20,38.0,34.0,2007-01-21
CHI,NO,2007,20,39.0,14.0,2007-01-21
CHI,IND,2007,21,17.0,29.0,2007-02-04
SF,ARI,2008,1,13.0,23.0,2008-09-07
LAC,CAR,2008,1,24.0,26.0,2008-09-07
IND,CHI,2008,1,13.0,29.0,2008-09-07
BAL,CIN,2008,1,17.0,10.0,2008-09-07
CLE,DAL,2008,1,10.0,28.0,2008-09-07
LV,DEN,2008,1,14.0,41.0,2008-09-08
ATL,DET,2008,1,34.0,21.0,2008-09-07
PIT,HOU,2008,1,38.0,17.0,2008-09-07
TEN,JAX,2008,1,17.0,10.0,2008-09-07
GB,MIN,2008,1,24.0,19.0,2008-09-08
MIA,NYJ,2008,1,14.0,20.0,2008-09-07
BUF,SEA,2008,1,34.0,10.0,2008-09-07
PHI,LA,2008,1,38.0,3.0,2008-09-07
NO,TB,2008,1,24.0,20.0,2008-09-07
NYG,WAS,2008,1,16.0,7.0,2008-09-04
TB,ATL,2008,2,24.0,9.0,2008-09-14
JAX,BUF,2008,2,16.0,20.0,2008-09-14
CAR,CHI,2008,2,20.0,17.0,2008-09-14
DET,GB,2008,2,25.0,48.0,2008-09-14
MIN,IND,2008,2,15.0,18.0,2008-09-14
ARI,MIA,2008,2,31.0,10.0,2008-09-14
NYJ,NE,2008,2,10.0,19.0,2008-09-14
WAS,NO,2008,2,29.0,24.0,2008-09-14
LA,NYG,2008,2,13.0,41.0,2008-09-14
KC,LV,2008,2,8.0,23.0,2008-09-14
DAL,PHI,2008,2,41.0,37.0,2008-09-15
CLE,PIT,2008,2,6.0,10.0,2008-09-14
DEN,LAC,2008,2,39.0,38.0,2008-09-14
SEA,SF,2008,2,30.0,33.0,2008-09-14
CIN,TEN,2008,2,7.0,24.0,2008-09-14
WAS,ARI,2008,3,24.0,17.0,2008-09-21
MIN,CAR,2008,3,20.0,10.0,2008-09-21
NYG,CIN,2008,3,26.0,23.0,2008-09-21
BAL,CLE,2008,3,28.0,10.0,2008-09-21
GB,DAL,2008,3,16.0,27.0,2008-09-21
SF,DET,2008,3,31.0,13.0,2008-09-21
TEN,HOU,2008,3,31.0,12.0,2008-09-21
IND,JAX,2008,3,21.0,23.0,2008-09-21
ATL,KC,2008,3,38.0,14.0,2008-09-21
NE,MIA,2008,3,13.0,38.0,2008-09-21
DEN,NO,2008,3,34.0,32.0,2008-09-21
LAC,NYJ,2008,3,48.0,29.0,2008-09-22
BUF,LV,2008,3,24.0,23.0,2008-09-21
PHI,PIT,2008,3,15.0,6.0,2008-09-21
SEA,LA,2008,3,37.0,13.0,2008-09-21
CHI,TB,2008,3,24.0,27.0,2008-09-21
NYJ,ARI,2008,4,56.0,35.0,2008-09-28
CAR,ATL,2008,4,24.0,9.0,2008-09-28
PIT,BAL,2008,4,23.0,20.0,2008-09-29
LA,BUF,2008,4,14.0,31.0,2008-09-28
CIN,CLE,2008,4,12.0,20.0,2008-09-28
KC,DEN,2008,4,33.0,19.0,2008-09-28
TB,GB,2008,4,30.0,21.0,2008-09-28
JAX,HOU,2008,4,30.0,27.0,2008-09-28
TEN,MIN,2008,4,30.0,17.0,2008-09-28
CHI,PHI,2008,4,24.0,20.0,2008-09-28
LV,LAC,2008,4,18.0,28.0,2008-09-28
NO,SF,2008,4,31.0,17.0,2008-09-28
DAL,WAS,2008,4,24.0,26.0,2008-09-28
GB,ATL,2008,5,24.0,27.0,2008-10-05
ARI,BUF,2008,5,41.0,17.0,2008-10-05
DET,CHI,2008,5,7.0,34.0,2008-10-05
DAL,CIN,2008,5,31.0,22.0,2008-10-05
HOU,IND,2008,5,27.0,31.0,2008-10-05
CAR,KC,2008,5,34.0,0.0,2008-10-05
NO,MIN,2008,5,27.0,30.0,2008-10-06
SF,NE,2008,5,21.0,30.0,2008-10-05
JAX,PIT,2008,5,21.0,26.0,2008-10-05
MIA,LAC,2008,5,17.0,10.0,2008-10-05
NYG,SEA,2008,5,44.0,6.0,2008-10-05
DEN,TB,2008,5,16.0,13.0,2008-10-05
BAL,TEN,2008,5,10.0,13.0,2008-10-05
PHI,WAS,2008,5,17.0,23.0,2008-10-05
IND,BAL,2008,6,31.0,3.0,2008-10-12
TB,CAR,2008,6,27.0,3.0,2008-10-12
ATL,CHI,2008,6,22.0,20.0,2008-10-12
NYJ,CIN,2008,6,26.0,14.0,2008-10-12
ARI,DAL,2008,6,30.0,24.0,2008-10-12
MIN,DET,2008,6,12.0,10.0,2008-10-12
SEA,GB,2008,6,17.0,27.0,2008-10-12
DEN,JAX,2008,6,17.0,24.0,2008-10-12
HOU,MIA,2008,6,29.0,28.0,2008-10-12
LAC,NE,2008,6,30.0,10.0,2008-10-12
CLE,NYG,2008,6,35.0,14.0,2008-10-13
NO,LV,2008,6,34.0,3.0,2008-10-12
SF,PHI,2008,6,26.0,40.0,2008-10-12
WAS,LA,2008,6,17.0,19.0,2008-10-12
MIA,BAL,2008,7,13.0,27.0,2008-10-19
WAS,CLE,2008,7,14.0,11.0,2008-10-19
LA,DAL,2008,7,34.0,14.0,2008-10-19
NE,DEN,2008,7,41.0,7.0,2008-10-20
HOU,DET,2008,7,28.0,21.0,2008-10-19
GB,IND,2008,7,34.0,14.0,2008-10-19
CHI,MIN,2008,7,48.0,41.0,2008-10-19
CAR,NO,2008,7,30.0,7.0,2008-10-19
LV,NYJ,2008,7,16.0,13.0,2008-10-19
CIN,PIT,2008,7,10.0,38.0,2008-10-19
BUF,LAC,2008,7,23.0,14.0,2008-10-19
TB,SEA,2008,7,20.0,10.0,2008-10-19
NYG,SF,2008,7,29.0,17.0,2008-10-19
KC,TEN,2008,7,10.0,34.0,2008-10-19
CAR,ARI,2008,8,27.0,23.0,2008-10-26
PHI,ATL,2008,8,27.0,14.0,2008-10-26
MIA,BUF,2008,8,25.0,16.0,2008-10-26
HOU,CIN,2008,8,35.0,6.0,2008-10-26
JAX,CLE,2008,8,17.0,23.0,2008-10-26
TEN,IND,2008,8,31.0,21.0,2008-10-27
NYJ,KC,2008,8,28.0,24.0,2008-10-26
PIT,NYG,2008,8,14.0,21.0,2008-10-26
BAL,LV,2008,8,29.0,10.0,2008-10-26
NO,LAC,2008,8,37.0,32.0,2008-10-26
SF,SEA,2008,8,13.0,34.0,2008-10-26
NE,LA,2008,8,23.0,16.0,2008-10-26
DAL,TB,2008,8,13.0,9.0,2008-10-26
DET,WAS,2008,8,17.0,25.0,2008-10-26
LA,ARI,2008,9,13.0,34.0,2008-11-02
LV,ATL,2008,9,0.0,24.0,2008-11-02
CLE,BAL,2008,9,27.0,37.0,2008-11-02
NYG,DAL,2008,9,35.0,14.0,2008-11-02
CHI,DET,2008,9,27.0,23.0,2008-11-02
TEN,GB,2008,9,19.0,16.0,2008-11-02
MIN,HOU,2008,9,28.0,21.0,2008-11-02
CIN,JAX,2008,9,21.0,19.0,2008-11-02
DEN,MIA,2008,9,17.0,26.0,2008-11-02
IND,NE,2008,9,18.0,15.0,2008-11-02
BUF,NYJ,2008,9,17.0,26.0,2008-11-02
SEA,PHI,2008,9,7.0,26.0,2008-11-02
WAS,PIT,2008,9,6.0,23.0,2008-11-03
KC,TB,2008,9,27.0,30.0,2008-11-02
HOU,BAL,2008,10,13.0,41.0,2008-11-09
NE,BUF,2008,10,20.0,10.0,2008-11-09
LV,CAR,2008,10,6.0,17.0,2008-11-09
CLE,DEN,2008,10,30.0,34.0,2008-11-06
MIN,GB,2008,10,28.0,27.0,2008-11-09
PIT,IND,2008,10,20.0,24.0,2008-11-09
DET,JAX,2008,10,14.0,38.0,2008-11-09
LAC,KC,2008,10,20.0,19.0,2008-11-09
ATL,NO,2008,10,34.0,20.0,2008-11-09
PHI,NYG,2008,10,31.0,36.0,2008-11-09
MIA,SEA,2008,10,21.0,19.0,2008-11-09
ARI,SF,2008,10,29.0,24.0,2008-11-10
NYJ,LA,2008,10,47.0,3.0,2008-11-09
CHI,TEN,2008,10,14.0,21.0,2008-11-09
SEA,ARI,2008,11,20.0,26.0,2008-11-16
NYG,BAL,2008,11,30.0,10.0,2008-11-16
GB,CHI,2008,11,37.0,3.0,2008-11-16
BUF,CLE,2008,11,27.0,29.0,2008-11-17
WAS,DAL,2008,11,10.0,14.0,2008-11-16
ATL,DEN,2008,11,20.0,24.0,2008-11-16
CAR,DET,2008,11,31.0,22.0,2008-11-16
IND,HOU,2008,11,33.0,27.0,2008-11-16
TB,MIN,2008,11,19.0,13.0,2008-11-16
KC,NO,2008,11,20.0,30.0,2008-11-16
NE,NYJ,2008,11,31.0,34.0,2008-11-13
MIA,LV,2008,11,17.0,15.0,2008-11-16
CIN,PHI,2008,11,13.0,13.0,2008-11-16
PIT,LAC,2008,11,11.0,10.0,2008-11-16
SF,LA,2008,11,35.0,16.0,2008-11-16
JAX,TEN,2008,11,14.0,24.0,2008-11-16
KC,BUF,2008,12,31.0,54.0,2008-11-23
ATL,CAR,2008,12,45.0,28.0,2008-11-23
LA,CHI,2008,12,3.0,27.0,2008-11-23
PIT,CIN,2008,12,27.0,10.0,2008-11-20
NO,GB,2008,12,51.0,29.0,2008-11-24
CLE,HOU,2008,12,6.0,16.0,2008-11-23
LAC,IND,2008,12,20.0,23.0,2008-11-23
JAX,MIN,2008,12,12.0,30.0,2008-11-23
